"Year","N","P2O5","K2O"
"1950-51",55,8.8,6
"1951-52",58.7,6.9,NA
"1952-53",57.8,4.6,3.3
"1953-54",89.3,8.3,7.5
"1954-55",94.8,15,11.1
"1955-56",107.5,13,10.3
"1956-57",123.1,15.9,14.8
"1957-58",149,21.9,12.8
"1958-59",172,29.5,22.4
"1959-60",229.3,53.9,21.3
"1960-61",211.7,53.1,29
"1961-62",249.8,60.5,28
"1962-63",333,82.8,36.4
"1963-64",376.1,116.5,50.6
"1964-65",555.2,148.7,69.3
"1965-66",574.8,132.5,77.3
"1966-67",737.8,248.6,114.2
"1967-68",1034.6,334.8,169.6
"1968-69",1208.6,382.1,170
"1969-70",1356,416,210
"1970-71",1479.3,541,236.3
"1971-72",1798,558.2,300.6
"1972-73",1839,581.3,347.6
"1973-74",1829,649.7,359.8
"1974-75",1765.7,471.5,336.1
"1975-76",2148.6,466.8,278.3
"1976-77",2456.9,634.7,319.2
"1977-78",2913,866.6,506.2
"1978-79",3419.5,1106,591.5
"1979-80",3498.1,1150.9,606.4
"1980-81",3678.1,1213.6,623.9
"1981-82",4068.7,1322.3,676.2
"1982-83",4224.2,1435.9,726.5
"1982-83",4242.5,1432.6,726.3
"1983-84",5204.4,1730.3,775.4
"1984-85",5486.1,1886.4,838.5
"1985-86",5660.8,2005.2,808.1
"1986-87",5716,2078.9,850
"1987-88",5716.8,2187,880.5
"1988-89",7251,2720.7,1068.4
"1989-90",7385.9,3014.3,1168
"1990-91",7997.2,3221,1328
"1991-92",8046.3,3321.1,1360.6
"1992-93",8426.8,2843.8,883.9
"1993-94",8788.3,2669.3,908.7
"1994-95",9507.1,2931.7,1124.8
"1995-96",9822.8,2897.6,1155.8
"1996-97",10301.8,2976.7,1029.6
"1997-98",10901.8,3913.5,1372.5
"1998-99",11353.8,4112.2,1331.5
"1999-2000",11592.5,4798,1678.4
"2000-01",10920.2,4214.6,1567.5
"2001-02",11310.2,4382.4,1667.1
"2002-03",10474.1,4018.8,1601.2
"2003-04",11077,4124.2,1597.9
"2004-05",11713.9,4623.8,2060.7
"2005-06",12723.3,5203.7,2413.3
"2006-07",13772.9,5543.3,2334.8
"2007-08",14419.1,5514.7,2636.3
"2008-09",15090.5,6506.2,3312.6
"2009-10",15580,7274,3632.4
"2010-11",16558.2,8049.7,3514.3
"2011-12",NA,NA,NA
